model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-32B_Qwen_Qwen3-14B,level_2,0.425,47.55,20.486649089932826,89.975,0.0,0.0,0.0,0.0,0.0,0.0,0.26628858021170254,0.385,0.20435717060717057,0.2645194877953001,0.3788637154757173,0.20861495608636044,0.16938888780180766,0.25375460854478415,0.21157174817329594
Qwen_Qwen3-32B_Qwen_Qwen3-14B,level_4,0.32,67.53666666666666,9.88353663740178,103.25999999999999,0.037866626817308104,0.0475,0.0353353365588659,0.06177945450428094,0.07742849966194341,0.06199068005272822,0.11322438707613425,0.1288888888888889,0.11903726828726821,0.13056129734575644,0.15137186684023943,0.15248108567131632,0.03327455001139208,0.03099443796657414,0.032134493988983104
Qwen_Qwen3-32B_Qwen_Qwen3-32B,level_2,0.7,48.04960317460318,21.762169753321224,69.675,0.0,0.0,0.0,0.0,0.0,0.0,0.2769776525621868,0.365,0.22244789932289927,0.2611304847937534,0.34699097536448154,0.20977432599559082,0.13513112588772971,0.1848953054101364,0.16001321564893306
Qwen_Qwen3-32B_Qwen_Qwen3-32B,level_4,0.4355555555555556,63.47380952380952,12.601601233294492,96.42444444444445,0.05894708770840802,0.07444444444444444,0.049110525277191903,0.08439974880280823,0.105467611982518,0.07153591902795452,0.1428905005865592,0.14567901234567898,0.15771245802128153,0.1634819889440588,0.17136555255333588,0.18886071607724603,0.04416864964136754,0.09725328463574856,0.07071096713855804
Qwen_Qwen3-32B_Qwen_Qwen3-4B,level_2,0.42777777777777776,64.36964285714285,21.604278771541384,95.42777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.3334062425110878,0.4816666666666667,0.2785401866651866,0.23374275558895855,0.328124914674708,0.21915751164724873,0.23887617673594919,0.3034449144797542,0.2711605456078517
Qwen_Qwen3-32B_Qwen_Qwen3-8B,level_2,0.42500000000000004,46.55416666666667,15.331170726925379,89.82499999999999,0.0061903470715835,0.015,0.00375,0.018571041214750526,0.045,0.01125,0.19134841595152066,0.32,0.1360201683421497,0.21566932436400263,0.35994389715794106,0.15349384680424882,0.09035368500020138,0.14933548488876355,0.11984458494448244
Qwen_Qwen3-32B_Qwen_Qwen3-8B,level_4,0.33999999999999997,56.83333333333333,18.636496543014268,104.42,0.05229505421148626,0.0761111111111111,0.04109939844959058,0.08649373216815344,0.1227363200772262,0.07098173567196267,0.14163691189983352,0.19975308641975306,0.13550995423460294,0.11421947699754346,0.17088785827170097,0.11928016361308331,0.03852554783679126,0.10218046452595966,0.07035300618137545
Qwen_Qwen3-4B_Qwen_Qwen3-1.7B,level_2,0.1,58.0,6.75,115.725,0.0,0.0,0.0,0.0,0.0,0.0,0.2827145720345973,0.24,0.48873106060606053,0.15894792477424685,0.11936253712102603,0.3742007723296529,0.25757682880844646,0.2226480015082956,0.240112415158371
Qwen_Qwen3-4B_Qwen_Qwen3-14B,level_2,0.3,57.666666666666664,25.327731239134994,101.6,0.0,0.0,0.0,0.0,0.0,0.0,0.19963857852302996,0.25,0.17631222943722938,0.22330960902302616,0.2742441198667315,0.2097428028495164,0.21460108025590524,0.15433486185076847,0.1844679710533369
Qwen_Qwen3-4B_Qwen_Qwen3-32B,level_2,0.55,57.98988095238095,24.10143024255744,85.825,0.0,0.0,0.0,0.0,0.0,0.0,0.22559530178395004,0.3,0.19046098702638947,0.25298636087935383,0.3451153377141962,0.21357482324071778,0.24692982456140347,0.10323725981620716,0.1750835421888053
Qwen_Qwen3-4B_Qwen_Qwen3-4B,level_2,0.325,63.833333333333336,10.729764638742452,101.725,0.0,0.0,0.0,0.0,0.0,0.0,0.33656795409686535,0.48,0.2922630858049907,0.22312579072423794,0.3344123566810752,0.22883786088374258,0.2942111330698287,0.2603565546772068,0.27728384387351773
Qwen_Qwen3-4B_Qwen_Qwen3-8B,level_2,0.325,66.54166666666666,18.400601717627122,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.18609774440251,0.31,0.14271734671228742,0.20424447185117475,0.33717847081556024,0.16272054653325008,0.15290144939936978,0.13056882693888783,0.1417351381691288
Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,level_2,0.15000000000000002,61.875,2.875,114.525,0.0,0.0,0.0,0.0,0.0,0.0,0.24000273362692087,0.22000000000000003,0.3564988238885298,0.12781604705019886,0.09877260792952908,0.31316756910084176,0.0375531302987483,0.14231091338535856,0.0899320218420534
Qwen_Qwen3-8B_Qwen_Qwen3-1.7B,level_4,0.0,0.0,0.0,120.0,0.02202311933497862,0.034999999999999996,0.02016269841269836,0.044878487996702444,0.07116345496432848,0.04340215610205368,0.15966874433949577,0.12666666666666665,0.3288215303215303,0.0842104038594351,0.0647548021855964,0.28968608016500486,0.09648626051794877,0.19552892538439554,0.14600759295117216
Qwen_Qwen3-8B_Qwen_Qwen3-14B,level_2,0.35,45.458333333333336,11.917204162783351,95.275,0.0,0.0,0.0,0.0,0.0,0.0,0.32972990493250914,0.39999999999999997,0.28738455988455985,0.3028225251166509,0.3692333074244432,0.26960756660784196,0.04529016674458467,0.13806437977247932,0.09167727325853198
Qwen_Qwen3-8B_Qwen_Qwen3-14B,level_4,0.3488888888888889,78.91666666666666,13.655073422544694,107.55555555555554,0.03109581359689318,0.0486111111111111,0.02375341375810256,0.05047084766694043,0.07655354513937263,0.03938638237084476,0.12216244524568894,0.14864197530864193,0.12002294921249165,0.13832171606785235,0.17646588588284418,0.1378935165645105,0.03149538992912482,0.0760709082969957,0.05378314911306028
Qwen_Qwen3-8B_Qwen_Qwen3-32B,level_2,0.6,50.296031746031744,18.307396896289347,79.025,0.0,0.0,0.0,0.0,0.0,0.0,0.36210971662630637,0.475,0.3085268204018204,0.24305972876491155,0.3136519825879793,0.21945612639525786,0.07583229164585666,0.12072314753243735,0.098277719589147
Qwen_Qwen3-8B_Qwen_Qwen3-32B,level_4,0.36666666666666664,79.22666666666666,14.456342130369872,105.08444444444444,0.031204200987844283,0.04916666666666666,0.02476319443871022,0.051676145433795964,0.07907293406096548,0.04213816104802916,0.13910963258901232,0.1822222222222222,0.11995607998239574,0.1620766408300878,0.21300029109845378,0.14489121414472278,0.03093444746319578,0.07023890608875127,0.05058667677597349
Qwen_Qwen3-8B_Qwen_Qwen3-4B,level_2,0.375,40.27083333333333,8.774059192893837,89.325,0.01695632798573975,0.025,0.0125,0.05086898395721925,0.075,0.0375,0.35549430761503553,0.45499999999999996,0.33070034132534126,0.23473831740652948,0.30014256124757577,0.27054417489034505,0.10504724111866967,0.31781746031746033,0.211432350718065
Qwen_Qwen3-8B_Qwen_Qwen3-8B,level_2,0.325,42.020833333333336,16.042217898319397,94.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2675488572640163,0.385,0.2247483370387782,0.2556716536900736,0.3732254225495951,0.2256163818996211,0.0868620414673046,0.14168506931664823,0.11427355539197642
Qwen_Qwen3-8B_Qwen_Qwen3-8B,level_4,0.22000000000000003,61.633333333333326,13.951638091802508,110.24000000000001,0.02607446935671856,0.05,0.01830982559216502,0.04773276428008324,0.09065835239216026,0.034760207424778575,0.1146736603730781,0.19111111111111106,0.0956978154928451,0.1346215522586118,0.22289052908096982,0.11516627882644759,0.0427845215812505,0.09405302588713799,0.06841877373419426
