model,level,success_rate,time_avg,time_var,steps,mean_f1_agent_0,mean_similarity_agent_0,mean_redundancy_agent_0,std_f1_agent_0,std_similarity_agent_0,std_redundancy_agent_0,mean_f1_agent_1,mean_similarity_agent_1,mean_redundancy_agent_1,std_f1_agent_1,std_similarity_agent_1,std_redundancy_agent_1,initiate_collaboration,respond_collaboration,overall_collaboration
Qwen_Qwen3-8B_Qwen_Qwen3-4B,level_3,0.0,0.0,0.0,120.0,0.00586241429781988,0.0074074074074074,0.004761904761904761,0.02417135337104258,0.030541523152723397,0.019633836312465038,0.07919655785494525,0.16227994227994222,0.05323328457496288,0.03527439901283634,0.06686546697311826,0.0258671946115982,0.10103292914899945,0.02974425374588744,0.06538859144744344
Qwen_Qwen3-8B_Qwen_Qwen3-4B,level_5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055831327724602364,0.07058823529411762,0.04738093221631408,0.01174404574018086,0.005942073791483585,0.015372776098285279,0.05328728583347314,0.02690619894752224,0.04009674239049768
Qwen_Qwen3-8B_Qwen_Qwen3-8B,level_1,0.9800000000000001,0.0,0.0,24.0,0.9704377604902508,0.992,0.95859243697479,0.0721590161800107,0.024,0.09679733094075774,0.48063042470710754,1.0,0.3364541703077944,0.19302109928716496,0.0,0.19151835582508428,0.23693165677848196,0.3392192397113795,0.28807544824493075
Qwen_Qwen3-8B_Qwen_Qwen3-8B,level_2,0.02408026755852842,0.0,0.0,120.0,0.02679615914590428,0.03997324414715716,0.0205504278330365,0.0857186752664007,0.12066891580208008,0.0672377606636461,0.08411854766113283,0.4277725752508362,0.04485931949999472,0.07146960003790026,0.3306305042534207,0.03893091784490374,0.061260592602486744,0.09615423038339366,0.07870741149294018
Qwen_Qwen3-8B_Qwen_Qwen3-8B,level_3,0.0,0.0,0.0,120.0,0.016973028418882822,0.026666666666666637,0.0123,0.050919085256648525,0.07999999999999996,0.0369,0.06584037493678978,0.2657142857142857,0.03616627589434326,0.05607216934978314,0.20920966583366365,0.031211707124986138,0.0471917449433778,0.06614536238515631,0.05666855366426706
Qwen_Qwen3-8B_Qwen_Qwen3-8B,level_5,0.0,0.0,0.0,120.0,0.01679757654450308,0.014615384615384603,0.02024999999999998,0.056785670385453166,0.04907268824438718,0.0692431183971292,0.05487797252775252,0.11892857142857141,0.0346593975359264,0.04825900005839158,0.10769423335586463,0.0302514333569582,0.04313683864919438,0.0542506702583476,0.048693754453771
Qwen_Qwen3-8B_google_gemma-3-12b-it,level_2,0.08333333333333333,0.0,0.0,120.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.11785113019775792,0.11785113019775792,0.11785113019775792,0.3423168041716059,1.0,0.21217531608332116,0.1428568399228604,0.0,0.11242053536225168,0.10764654574087285,0.10795976546117805,0.10780315560102548
Qwen_Qwen3-8B_google_gemma-3-4b-it,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996386562998405,0.0,0.4981932814992025
Qwen_Qwen3-8B_nvidia_AceReason-Nemotron-14B,level_2,1.0,0.0,0.0,47.666666666666664,0.9488233626311313,1.0,0.9285714285714285,0.07237469464370387,0.0,0.10101525445522107,0.5703784465378724,1.0,0.40972556250334025,0.03285348693546213,0.0,0.0381360030837482,0.15698295698295697,0.41961701961701964,0.2882999882999883
google_gemma-3-12b-it_Qwen_Qwen3-1.7B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21907720017591528,0.18333333333333335,0.5067460317460317,0.03228642022035255,0.04714045207910316,0.25928888345985435,0.3885332193607854,0.06352811642635013,0.22603066789356774
google_gemma-3-12b-it_Qwen_Qwen3-14B,level_2,0.08333333333333333,0.0,0.0,120.0,0.044950855306681775,0.08333333333333333,0.02976190476190475,0.06357010921497998,0.11785113019775792,0.0420896893563421,0.24155084666229698,0.9333333333333333,0.13391260777304004,0.057215719779174126,0.09428090415820632,0.035287848031676075,0.23616071428571428,0.2543154761904762,0.2452380952380952
google_gemma-3-12b-it_Qwen_Qwen3-4B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1601763966151792,0.21666666666666667,0.14422492544089638,0.03718868035253835,0.023570226039551594,0.06370252188718853,0.1742035232383808,0.12637475904904688,0.15028914114371383
google_gemma-3-12b-it_Qwen_Qwen3-8B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13474697869212676,0.6166666666666667,0.07333548068216338,0.05411476039306337,0.1566418606044387,0.031721963047406626,0.18870356898322488,0.15819056924949595,0.17344706911636043
google_gemma-3-12b-it_google_gemma-3-12b-it,level_2,0.08333333333333333,0.0,0.0,116.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.11785113019775792,0.11785113019775792,0.11785113019775792,0.2717977700535875,0.9333333333333333,0.15408617082378687,0.07112965970809584,0.09428090415820632,0.04642992496918502,0.15962572519514517,0.15609633503458242,0.1578610301148638
google_gemma-3-12b-it_google_gemma-3-4b-it,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996875,0.0,0.4984375
google_gemma-3-12b-it_nvidia_AceReason-Nemotron-14B,level_2,0.7777777777777777,0.0,0.0,38.666666666666664,0.7337792582318928,0.8222222222222223,0.6780355447022114,0.2591491073653428,0.2514157444218836,0.2796292278557652,0.5588528701560826,1.0,0.4215398260940897,0.17091041018194633,0.0,0.16666450282866246,0.14451284389724875,0.302515579875361,0.22351421188630485
google_gemma-3-4b-it_Qwen_Qwen3-1.7B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2419237373968425,0.16666666666666666,0.6444444444444444,0.04350575190925897,0.023570226039551594,0.13356461422412563,0.18704141130405172,0.04531959340596978,0.1161805023550107
google_gemma-3-4b-it_Qwen_Qwen3-14B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32634799365653044,0.9166666666666666,0.19361864086837788,0.05952978446957893,0.04714045207910315,0.044000580427154774,0.10501048458474863,0.1788940774654555,0.14195228102510207
google_gemma-3-4b-it_Qwen_Qwen3-4B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09814485981191423,0.18333333333333335,0.06946008453819165,0.02989267550176905,0.023570226039551594,0.0235877683234579,0.11288410574329863,0.03307905923608423,0.0729815824896914
google_gemma-3-4b-it_Qwen_Qwen3-8B,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17823689319896885,0.4666666666666666,0.11389571279403353,0.09015999344718142,0.2575802203437515,0.06404818995316072,0.08217914001805435,0.07612635754814255,0.07915274878309846
google_gemma-3-4b-it_google_gemma-3-12b-it,level_2,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1778366454666552,0.8999999999999999,0.0953918889378049,0.0748628720575028,0.1414213562373095,0.0426690183356472,0.23823110440757495,0.2323487514663985,0.2352899279369867
